disk_type,pool_type,cache_size,iops_min,iops_max,iops_avg,iops_std,iops_samples,bw_min,bw_max,bw_perc,bw_avg,bw_std,bw_samples,clat_min,clat_max,clat_avg,clat_std,iodepth,bs,iops_limit,workload,request_type,iops,bw,bw_mb,total_bw,total_time,clat_1th,clat_50th,clat_90th,clat_99th
lsvd,ssd,240gb,10024,67112,48534.77,15032.62,60,40096,268448,100.00,194138.93,60130.55,60,1193,443775,5275.13,15681.20,256,4ki,100000,write,write,48.3k,189MiB/s,198MB/s,5689MiB,30127msec,4,5,6,443
lsvd,ssd,240gb,18048,66432,47707.12,13866.13,59,72192,265728,99.68,190828.34,55464.88,59,240,379118,8805.49,20326.62,320,4ki,100000,write,write,47.9k,187MiB/s,196MB/s,5609MiB,30001msec,5,8,9,380
lsvd,ssd,240gb,11264,68864,48045.49,17138.78,59,45056,275456,99.93,192181.97,68554.85,59,594,449076,9317.90,22664.36,384,4ki,100000,write,write,48.1k,188MiB/s,197MB/s,5635MiB,30001msec,6,8,10,447
lsvd,ssd,240gb,11264,68864,48045.49,17138.78,59,28160,282624,99.61,190594.03,71145.69,59,642,436329,10009.01,23255.70,448,4ki,100000,write,write,47.8k,187MiB/s,196MB/s,5606MiB,30001msec,7,9,10,435
lsvd,ssd,240gb,13988,70974,51576.20,14496.43,59,55960,283896,100.00,206304.81,57985.18,59,803,427424,9924.90,21365.21,512,4ki,100000,write,write,51.5k,201MiB/s,211MB/s,6033MiB,30002msec,7,9,10,426
lsvd,ssd,240gb,11852,65102,46278.92,14054.37,59,47408,260408,99.83,185115.66,56217.48,59,503,434343,5500.49,15364.69,256,4ki,100000,randwrite,write,46.4k,181MiB/s,190MB/s,5433MiB,30001msec,4,5,6,435
lsvd,ssd,240gb,11852,65102,46278.92,14054.37,59,17152,374272,100.00,243310.90,101527.87,58,592,590619,8462.86,26384.31,256,8ki,100000,randwrite,write,30.1k,235MiB/s,247MB/s,7062MiB,30002msec,5,6,8,592
lsvd,ssd,240gb,11852,65102,46278.92,14054.37,59,24096,402272,99.70,316047.19,99470.61,59,1403,533436,12869.52,21993.40,256,16ki,100000,randwrite,write,19.8k,310MiB/s,325MB/s,9289MiB,30006msec,9,11,13,535
lsvd,ssd,240gb,11852,65102,46278.92,14054.37,59,24096,402272,99.70,316047.19,99470.61,59,1456,707992,24441.61,36130.38,256,32ki,100000,randwrite,write,10.4k,326MiB/s,342MB/s,9783MiB,30011msec,17,20,26,701
lsvd,ssd,240gb,11852,65102,46278.92,14054.37,59,46976,438656,100.00,366684.69,79809.22,58,1456,707992,24441.61,36130.38,256,64ki,100000,randwrite,write,5536,346MiB/s,363MB/s,10.2GiB,30055msec,33,41,50,676
lsvd,ssd,240gb,22352,70850,56314.05,9930.95,59,89408,283400,100.00,225256.25,39723.71,59,597,300049,4528.33,7052.04,256,4ki,100000,write,write,56.3k,220MiB/s,231MB/s,6598MiB,30001msec,4,5,5,300
lsvd,ssd,240gb,22352,70850,56314.05,9930.95,59,33792,383056,100.00,295855.19,87223.53,59,1354,450769,6991.34,18167.36,256,8ki,100000,write,write,36.5k,285MiB/s,299MB/s,8549MiB,30003msec,5,6,8,451
lsvd,ssd,240gb,22352,70850,56314.05,9930.95,59,29984,411936,99.71,279382.24,112484.78,59,1375,485840,14560.36,34807.04,256,16ki,100000,write,write,17.5k,274MiB/s,287MB/s,8211MiB,30006msec,9,11,14,485
lsvd,ssd,240gb,22352,70850,56314.05,9930.95,59,55680,457088,99.70,328612.88,116927.65,59,1392,603208,24755.08,45044.67,256,32ki,100000,write,write,10.3k,322MiB/s,337MB/s,9659MiB,30009msec,16,20,24,600
lsvd,ssd,240gb,22352,70850,56314.05,9930.95,59,55680,457088,99.70,328612.88,116927.65,59,1392,603208,24755.08,45044.67,256,64ki,100000,write,write,4961,310MiB/s,325MB/s,9326MiB,30076msec,29,41,48,609
lsvd,hdd,240gb,48676,55812,53944.87,1276.30,119,194704,223248,100.00,215779.23,5105.49,119,114,25152,2355.50,387.21,128,4ki,,randread,read,53.9k,211MiB/s,221MB/s,12.3GiB,60001msec,1123,2376,2769,5211
lsvd,hdd,240gb,63004,82264,71962.87,4397.02,119,252024,329056,99.96,287851.29,17587.68,119,115,9356,1764.45,288.64,128,4ki,,read,read,72.0k,281MiB/s,295MB/s,16.5GiB,60001msec,1020,1745,2114,3294
lsvd,hdd,240gb,63004,82264,71962.87,4397.02,119,252024,329056,99.96,287851.29,17587.68,119,56,2331,146.29,38.64,128,4ki,10000,randread,read,9999,39.1MiB/s,41.0MB/s,1172MiB,30001msec,106,137,188,660
lsvd,hdd,240gb,63004,82264,71962.87,4397.02,119,80016,80088,100.00,80055.73,17.95,59,80,3167,195.12,51.03,128,4ki,20000,randread,read,20.0k,78.1MiB/s,81.9MB/s,2344MiB,30001msec,123,190,247,816
lsvd,hdd,240gb,29994,30042,30017.32,10.27,59,119976,120168,100.00,120069.15,40.87,59,87,3806,267.73,88.12,128,4ki,30000,randread,read,30.0k,117MiB/s,123MB/s,3516MiB,30001msec,145,258,355,3228
lsvd,hdd,240gb,39516,40538,40023.46,96.02,59,158064,162152,100.00,160093.83,384.09,59,92,4811,399.70,343.98,128,4ki,40000,randread,read,40.0k,156MiB/s,164MB/s,4687MiB,30001msec,157,343,545,3458
lsvd,hdd,240gb,48822,51254,50031.17,387.70,59,195288,205016,100.00,200124.59,1550.99,59,134,3637,697.57,716.95,128,4ki,50000,randread,read,50.0k,195MiB/s,205MB/s,5859MiB,30001msec,186,433,1893,3556
lsvd,hdd,240gb,55572,65530,60034.75,1179.16,59,222288,262120,100.00,240138.71,4716.62,59,184,4157,941.35,495.21,128,4ki,60000,randread,read,60.0k,234MiB/s,246MB/s,7031MiB,30001msec,326,799,1778,3490
lsvd,hdd,240gb,51152,72706,68967.73,4129.49,59,204608,290824,100.00,275870.64,16517.99,59,170,3988,1832.58,283.69,128,4ki,70000,randread,read,68.9k,269MiB/s,282MB/s,8078MiB,30001msec,1020,1844,2089,3589
lsvd,hdd,240gb,55198,73678,69857.51,4218.66,59,220792,294712,100.00,279430.20,16874.62,59,601,6604,1820.33,242.56,128,4ki,80000,randread,read,69.8k,273MiB/s,286MB/s,8178MiB,30001msec,1074,1827,2057,3490
lsvd,hdd,240gb,63208,75130,69615.19,3975.85,59,252832,300520,100.00,278460.61,15903.36,59,295,3369,1826.58,211.17,128,4ki,90000,randread,read,69.5k,272MiB/s,285MB/s,8149MiB,30001msec,1139,1844,2057,2933
lsvd,hdd,240gb,62878,72594,67844.54,3792.12,59,251512,290376,99.94,271378.17,15168.21,59,239,5226,1871.20,209.49,128,4ki,100000,randread,read,67.9k,265MiB/s,278MB/s,7955MiB,30001msec,1237,1860,2114,2966
lsvd,hdd,240gb,62878,72594,67844.54,3792.12,59,251512,290376,99.94,271378.17,15168.21,59,74,884,131.11,36.29,128,4ki,10000,read,read,9999,39.1MiB/s,41.0MB/s,1172MiB,30001msec,93,123,167,652
lsvd,hdd,240gb,62878,72594,67844.54,3792.12,59,80016,80080,100.00,80045.83,15.64,59,70,6847,160.15,45.51,128,4ki,20000,read,read,20.0k,78.1MiB/s,81.9MB/s,2344MiB,30001msec,102,155,206,1319
lsvd,hdd,240gb,62878,72594,67844.54,3792.12,59,120008,120144,100.00,120078.64,29.53,59,76,3242,211.30,56.39,128,4ki,30000,read,read,30.0k,117MiB/s,123MB/s,3516MiB,30001msec,122,206,269,2024
lsvd,hdd,240gb,39990,40060,40023.69,11.63,59,159960,160240,100.00,160094.78,46.52,59,84,1550,258.46,69.78,128,4ki,40000,read,read,40.0k,156MiB/s,164MB/s,4687MiB,30001msec,147,247,338,1188
lsvd,hdd,240gb,48540,51946,50029.19,336.69,59,194168,207784,100.00,200116.61,1346.07,59,103,3618,485.80,549.35,128,4ki,50000,read,read,50.0k,195MiB/s,205MB/s,5859MiB,30001msec,159,334,603,3392
lsvd,hdd,240gb,59910,60168,60037.19,37.55,59,239640,240672,100.00,240148.75,150.20,59,128,3014,473.39,248.70,128,4ki,60000,read,read,60.0k,234MiB/s,246MB/s,7031MiB,30001msec,188,408,758,2802
lsvd,hdd,240gb,69786,70332,70037.19,99.62,59,279144,281328,100.00,280148.75,398.42,59,98,2766,734.99,508.12,128,4ki,70000,read,read,70.0k,273MiB/s,287MB/s,8203MiB,30001msec,247,502,1762,2343
lsvd,hdd,240gb,74940,88326,79992.03,1895.33,59,299760,353304,99.99,319968.27,7581.21,59,206,3274,1205.86,435.14,128,4ki,80000,read,read,80.0k,312MiB/s,328MB/s,9375MiB,30001msec,498,1188,1795,2704
lsvd,hdd,240gb,73134,90300,78490.10,3298.36,59,292536,361200,100.00,313960.27,13193.53,59,463,3156,1619.97,207.15,128,4ki,90000,read,read,78.4k,306MiB/s,321MB/s,9189MiB,30001msec,1012,1631,1844,2769
lsvd,hdd,240gb,67712,92526,82755.86,6477.78,59,270848,370104,100.00,331023.47,25911.11,59,348,3459,1535.37,230.16,128,4ki,100000,read,read,82.7k,323MiB/s,339MB/s,9696MiB,30001msec,988,1516,1762,3032
lsvd,hdd,240gb,67712,92526,82755.86,6477.78,59,27960,33536,100.00,30960.95,1109.70,59,348,3459,1535.37,230.16,1,4ki,100000,randread,read,7736,30.2MiB/s,31.7MB/s,907MiB,30001msec,85,110,135,611
lsvd,hdd,240gb,49294,53996,51344.58,1099.12,59,197176,215984,99.99,205378.44,4396.21,59,105,968,299.42,62.49,16,4ki,100000,randread,read,51.3k,201MiB/s,210MB/s,6018MiB,30001msec,184,297,367,840
lsvd,hdd,240gb,65786,69098,67392.98,725.23,59,263144,276392,100.00,269571.66,2901.23,59,204,1257,464.88,92.46,32,4ki,100000,randread,read,67.4k,263MiB/s,276MB/s,7894MiB,30001msec,262,461,578,1090
lsvd,hdd,240gb,63110,72758,68494.88,3473.96,59,252440,291032,100.00,273979.39,13895.45,59,414,2375,925.68,154.61,64,4ki,100000,randread,read,68.4k,267MiB/s,280MB/s,8014MiB,30001msec,502,930,1090,1827
lsvd,hdd,240gb,64992,72512,70782.88,1499.58,59,259968,290048,100.00,283131.39,5998.16,59,307,3344,1450.02,312.36,80,4ki,100000,randread,read,70.7k,276MiB/s,290MB/s,8287MiB,30001msec,685,1450,1844,2835
lsvd,hdd,240gb,51584,74864,71145.22,3918.50,59,206336,299464,100.00,284580.75,15673.88,59,501,5793,1554.14,347.88,96,4ki,100000,randread,read,71.1k,278MiB/s,291MB/s,8332MiB,30001msec,725,1598,1909,3097
lsvd,hdd,240gb,64274,76996,72558.10,3115.84,59,257096,307984,100.00,290232.41,12463.37,59,211,6728,1647.39,321.43,112,4ki,100000,randread,read,72.5k,283MiB/s,297MB/s,8495MiB,30002msec,832,1663,1958,3261
lsvd,hdd,240gb,51442,74366,69586.71,3941.12,59,205768,297464,100.00,278346.44,15764.51,59,126,3431,1829.28,210.30,128,4ki,100000,randread,read,69.4k,271MiB/s,284MB/s,8137MiB,30001msec,1221,1811,2057,3097
lsvd,hdd,240gb,58560,74880,68052.61,4239.83,59,234240,299520,99.96,272210.31,16959.16,59,739,12128,3056.87,535.45,160,4ki,100000,randread,read,68.1k,266MiB/s,279MB/s,7978MiB,30001msec,2008,3032,3752,10028
lsvd,hdd,240gb,66432,73600,71994.58,1328.81,59,265728,294400,100.00,287978.17,5315.07,59,653,7799,3112.79,344.13,192,4ki,100000,randread,read,71.9k,281MiB/s,295MB/s,8431MiB,30001msec,2343,3097,3523,5342
lsvd,hdd,240gb,59328,73344,70182.78,3628.91,59,237312,293376,99.98,280731.17,14515.68,59,513,6626,3413.99,406.07,224,4ki,100000,randread,read,70.2k,274MiB/s,288MB/s,8227MiB,30001msec,2671,3359,3752,6194
lsvd,hdd,240gb,57992,73296,70485.53,2385.18,59,231968,293184,100.00,281942.10,9540.83,59,649,7330,3619.10,285.72,256,4ki,100000,randread,read,70.5k,275MiB/s,289MB/s,8257MiB,30001msec,2933,3621,3851,5800
lsvd,hdd,240gb,57216,74036,70818.68,2913.61,59,228864,296136,100.00,283274.58,11654.12,59,613,12569,5890.94,939.32,320,4ki,100000,randread,read,70.8k,276MiB/s,290MB/s,8293MiB,30002msec,4228,5866,6980,11863
lsvd,hdd,240gb,55808,74752,66791.80,4344.06,59,223232,299008,99.96,267167.20,17376.61,59,550,12078,6707.94,825.62,384,4ki,100000,randread,read,66.8k,261MiB/s,274MB/s,7831MiB,30001msec,5145,6652,7701,11863
lsvd,hdd,240gb,54912,74112,68737.42,4165.36,59,219648,296448,99.98,274952.54,16664.15,59,605,10867,6980.34,640.42,448,4ki,100000,randread,read,68.8k,269MiB/s,282MB/s,8057MiB,30001msec,5800,6915,7832,10421
lsvd,hdd,240gb,65862,75134,72054.95,1267.79,59,263448,300536,100.00,288219.66,5071.54,59,593,13267,7093.52,333.89,512,4ki,100000,randread,read,72.0k,281MiB/s,295MB/s,8441MiB,30001msec,6325,7111,7439,9896
lsvd,hdd,240gb,65862,75134,72054.95,1267.79,59,29048,35400,100.00,32230.24,1586.76,59,26,1537,109.07,31.33,1,4ki,100000,read,read,8047,31.4MiB/s,33.0MB/s,943MiB,30001msec,82,104,128,603
lsvd,hdd,240gb,51864,62670,55026.61,1876.10,59,207456,250680,99.95,220106.03,7504.35,59,97,4183,279.43,57.26,16,4ki,100000,read,read,55.1k,215MiB/s,225MB/s,6452MiB,30001msec,172,277,343,799
lsvd,hdd,240gb,75372,82910,80977.80,1491.26,59,301488,331640,100.00,323910.92,5964.72,59,190,1051,386.15,65.54,32,4ki,100000,read,read,80.9k,316MiB/s,331MB/s,9484MiB,30001msec,260,383,461,930
lsvd,hdd,240gb,80098,89636,86905.93,2450.48,59,320392,358544,100.00,347623.59,9801.71,59,338,3827,727.85,126.47,64,4ki,100000,read,read,86.9k,339MiB/s,356MB/s,9.94GiB,30001msec,457,734,881,1483
lsvd,hdd,240gb,68640,91392,84348.20,5018.00,59,274560,365568,100.00,337392.81,20072.01,59,359,2911,1215.58,306.96,80,4ki,100000,read,read,84.3k,329MiB/s,345MB/s,9885MiB,30001msec,578,1237,1582,2606
lsvd,hdd,240gb,85760,92842,90273.63,2127.15,59,343040,371360,100.00,361094.37,8508.45,59,416,3244,1226.22,267.16,96,4ki,100000,read,read,90.2k,352MiB/s,369MB/s,10.3GiB,30001msec,660,1287,1516,2376
lsvd,hdd,240gb,85216,94932,91643.12,2384.76,59,340864,379728,100.00,366572.20,9539.03,59,487,5544,1303.19,223.13,112,4ki,100000,read,read,91.6k,358MiB/s,375MB/s,10.5GiB,30001msec,750,1336,1549,2343
lsvd,hdd,240gb,67458,90070,75649.42,3729.55,59,269832,360280,100.00,302597.83,14918.55,59,185,3565,1679.93,192.98,128,4ki,100000,read,read,75.6k,295MiB/s,310MB/s,8861MiB,30001msec,1336,1696,1762,3097
lsvd,hdd,240gb,78720,92928,86494.37,5202.12,59,314880,371712,99.91,345977.36,20808.22,59,273,6682,2403.24,404.37,160,4ki,100000,read,read,86.6k,338MiB/s,355MB/s,9.91GiB,30001msec,1614,2376,2933,4817
lsvd,hdd,240gb,73088,91264,86122.31,3364.43,59,292352,365056,99.95,344489.22,13457.71,59,592,9069,2597.09,320.81,192,4ki,100000,read,read,86.2k,337MiB/s,353MB/s,9.86GiB,30001msec,2008,2573,2933,6128
lsvd,hdd,240gb,77952,91712,86102.78,4929.89,59,311808,366848,100.00,344410.98,19719.63,59,748,6467,2788.31,306.56,224,4ki,100000,read,read,85.9k,336MiB/s,352MB/s,9.83GiB,30001msec,2180,2737,3163,5866
lsvd,hdd,240gb,75794,94434,88315.76,4442.92,59,303176,377736,100.00,353263.05,17771.67,59,161,5000,2894.86,350.80,256,4ki,100000,read,read,88.1k,344MiB/s,361MB/s,10.1GiB,30001msec,2376,2802,3523,4424
lsvd,hdd,240gb,76800,91776,80653.02,3762.66,59,307200,367104,99.87,322612.07,15050.63,59,324,9212,5158.62,767.74,320,4ki,100000,read,read,80.8k,315MiB/s,331MB/s,9464MiB,30001msec,3589,5145,6194,7570
lsvd,hdd,240gb,78080,96256,85499.66,5841.67,59,312320,385024,100.00,341998.51,23366.56,59,620,10470,5248.67,684.72,384,4ki,100000,read,read,85.4k,333MiB/s,350MB/s,9.77GiB,30001msec,3949,5211,6194,8717
lsvd,hdd,240gb,72064,84224,78606.71,1854.02,59,288256,336896,100.00,314426.85,7416.07,59,609,12006,6105.97,427.75,448,4ki,100000,read,read,78.6k,307MiB/s,322MB/s,9208MiB,30001msec,5014,6128,6587,11469
lsvd,hdd,240gb,63086,90690,77822.47,4599.49,59,252344,362760,100.00,311290.03,18398.27,59,622,12304,6571.30,603.45,512,4ki,100000,read,read,77.8k,304MiB/s,318MB/s,9112MiB,30001msec,5407,6587,7046,11863
lsvd,hdd,240gb,63482,73062,70931.63,2359.38,59,253928,292248,100.00,283726.64,9437.57,59,632,5296,3595.70,250.72,256,4ki,100000,randread,read,70.9k,277MiB/s,290MB/s,8311MiB,30001msec,2933,3589,3916,4883
lsvd,hdd,240gb,54294,66848,62247.59,3670.08,59,434352,534784,100.00,497981.02,29360.83,59,930,6877,4102.89,395.85,256,8ki,100000,randread,read,62.1k,486MiB/s,509MB/s,14.2GiB,30002msec,3294,4080,4621,6259
lsvd,hdd,240gb,44172,50106,47927.22,2221.33,59,706752,801696,99.98,766835.53,35541.30,59,2099,7777,5319.19,345.76,256,16ki,100000,randread,read,47.9k,749MiB/s,785MB/s,21.9GiB,30003msec,4752,5276,5800,7046
lsvd,hdd,240gb,27698,31838,29971.32,1413.96,59,886336,1018816,100.00,959081.22,45248.00,59,1275,13736,8516.89,619.62,256,32ki,100000,randread,read,29.9k,936MiB/s,981MB/s,27.4GiB,30005msec,7570,8455,9241,13435
lsvd,hdd,240gb,15780,17332,16642.68,352.09,59,886336,1018816,100.00,959081.22,45248.00,59,3015,22954,15319.96,738.51,256,64ki,100000,randread,read,16.6k,1040MiB/s,1091MB/s,30.5GiB,30007msec,14353,15139,16188,22152
lsvd,hdd,240gb,78110,93796,88090.75,4857.47,59,312440,375184,100.00,352363.12,19429.73,59,659,10730,2900.10,298.82,256,4ki,100000,read,read,87.9k,343MiB/s,360MB/s,10.1GiB,30001msec,2343,2835,3294,4359
lsvd,hdd,240gb,66734,82386,72857.25,2009.09,59,533872,659088,100.00,582858.03,16072.89,59,964,5538,3500.52,292.22,256,8ki,100000,read,read,72.8k,569MiB/s,597MB/s,16.7GiB,30002msec,2835,3490,3851,5080
lsvd,hdd,240gb,48894,60868,52785.93,2944.01,59,782304,973856,100.00,844573.92,47102.34,59,1073,8343,4837.24,371.53,256,16ki,100000,read,read,52.7k,824MiB/s,864MB/s,24.1GiB,30003msec,3982,4883,5276,6718
lsvd,hdd,240gb,30008,35098,32353.76,1549.10,59,960256,1123136,100.00,1035320.41,49571.09,59,1152,13724,7888.46,555.50,256,32ki,100000,read,read,32.3k,1010MiB/s,1059MB/s,29.6GiB,30004msec,6849,7898,8455,13435
lsvd,hdd,240gb,16494,18036,17605.29,252.92,59,960256,1123136,100.00,1035320.41,49571.09,59,1501,22201,14488.71,624.32,256,64ki,100000,read,read,17.6k,1100MiB/s,1153MB/s,32.2GiB,30008msec,13698,14484,15008,21627
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,140056,239032,100.00,196868.17,18803.95,119,229,135024,2580.73,3259.20,128,4ki,100000,randwrite,write,49.2k,192MiB/s,202MB/s,11.3GiB,60001msec,1270,2311,3064,120062
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,140056,239032,100.00,196868.17,18803.95,119,229,135024,2580.73,3259.20,128,4ki,100000,write,write,44.8k,175MiB/s,184MB/s,10.3GiB,60001msec,1254,2212,2737,1400898
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,39928,40120,100.00,40021.02,25.16,59,23,213863,194.75,734.86,128,4ki,10000,randwrite,write,9999,39.1MiB/s,41.0MB/s,1172MiB,30001msec,102,143,258,3884
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,20808,139272,100.00,80049.08,18473.60,59,59,452789,599.40,3977.85,128,4ki,20000,randwrite,write,20.0k,78.1MiB/s,81.9MB/s,2344MiB,30001msec,121,206,1942,291505
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,20808,139272,100.00,80049.08,18473.60,59,89,762247,877.50,6151.03,128,4ki,30000,randwrite,write,30.0k,117MiB/s,123MB/s,3516MiB,30001msec,133,302,2245,72877
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,18832,262000,100.00,174922.81,52580.93,54,89,762247,877.50,6151.03,128,4ki,40000,randwrite,write,40.0k,156MiB/s,164MB/s,4687MiB,30001msec,172,1876,2606,1400898
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,18832,262000,100.00,174922.81,52580.93,54,89,762247,877.50,6151.03,128,4ki,50000,randwrite,write,43.8k,171MiB/s,179MB/s,5136MiB,30001msec,379,2180,2769,1333789
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,18832,262000,100.00,174922.81,52580.93,54,89,762247,877.50,6151.03,128,4ki,60000,randwrite,write,43.0k,168MiB/s,176MB/s,5049MiB,30060msec,1418,2311,2900,1166017
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,14952,230248,100.00,188400.73,39312.75,55,89,762247,877.50,6151.03,128,4ki,70000,randwrite,write,43.9k,171MiB/s,180MB/s,5143MiB,30001msec,1352,2278,2966,1166017
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,29856,246672,100.00,196956.15,39192.96,54,89,762247,877.50,6151.03,128,4ki,80000,randwrite,write,45.2k,177MiB/s,185MB/s,5298MiB,30001msec,1319,2245,2802,1317012
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,29856,246672,100.00,196956.15,39192.96,54,89,762247,877.50,6151.03,128,4ki,90000,randwrite,write,45.9k,179MiB/s,188MB/s,5379MiB,30001msec,1319,2180,2769,1069548
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,19968,230328,100.00,190667.93,39960.46,57,89,762247,877.50,6151.03,128,4ki,100000,randwrite,write,45.2k,177MiB/s,185MB/s,5307MiB,30028msec,1287,2278,2933,876610
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,33432,46624,100.00,40021.69,1224.92,59,56,207054,233.01,1183.42,128,4ki,10000,write,write,9999,39.1MiB/s,41.0MB/s,1172MiB,30001msec,106,137,265,4817
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,32728,127376,100.00,80050.85,18723.75,59,91,423889,570.84,3801.88,128,4ki,20000,write,write,20.0k,78.1MiB/s,81.9MB/s,2344MiB,30001msec,118,188,1827,291505
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,32728,127376,100.00,80050.85,18723.75,59,92,739477,918.73,7040.67,128,4ki,30000,write,write,30.0k,117MiB/s,123MB/s,3516MiB,30001msec,133,289,1893,513803
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,32728,127376,100.00,80050.85,18723.75,59,92,858810,1555.40,15229.88,128,4ki,40000,write,write,40.0k,156MiB/s,164MB/s,4687MiB,30001msec,149,742,2147,859833
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,32728,127376,100.00,80050.85,18723.75,59,92,858810,1555.40,15229.88,128,4ki,50000,write,write,44.3k,173MiB/s,182MB/s,5312MiB,30680msec,351,2057,2540,1283458
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,32848,266776,100.00,197422.52,53214.84,54,92,858810,1555.40,15229.88,128,4ki,60000,write,write,45.3k,177MiB/s,185MB/s,5304MiB,30002msec,1254,2057,2573,1035994
lsvd,hdd,240gb,35014,59758,49217.04,4701.00,119,32848,266776,100.00,197422.52,53214.84,54,92,858810,1555.40,15229.88,128,4ki,70000,write,write,47.2k,184MiB/s,193MB/s,5528MiB,30001msec,1172,1893,2376,1098908
lsvd,hdd,240gb,13814,67212,53009.11,10115.27,54,55256,268848,100.00,212036.30,40460.91,54,92,858810,1555.40,15229.88,128,4ki,80000,write,write,48.7k,190MiB/s,199MB/s,5703MiB,30001msec,1172,1860,2311,1300235
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,67792,277536,100.00,200968.43,47162.99,56,92,858810,1555.40,15229.88,128,4ki,90000,write,write,47.8k,187MiB/s,196MB/s,5606MiB,30001msec,1188,1893,2376,1082131
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,21968,269624,100.00,205858.71,43909.13,56,92,858810,1555.40,15229.88,128,4ki,100000,write,write,48.9k,191MiB/s,200MB/s,5736MiB,30001msec,1188,1860,2278,1166017
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,24928,30344,99.95,27888.41,1396.25,59,92,858810,1555.40,15229.88,1,4ki,100000,randwrite,write,6975,27.2MiB/s,28.6MB/s,817MiB,30001msec,97,119,143,1745
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,35320,192736,100.00,159369.16,30324.05,55,92,858810,1555.40,15229.88,16,4ki,100000,randwrite,write,37.2k,145MiB/s,152MB/s,4359MiB,30001msec,157,347,486,65799
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,11208,237272,100.00,191269.14,44031.19,56,92,858810,1555.40,15229.88,32,4ki,100000,randwrite,write,45.6k,178MiB/s,187MB/s,5350MiB,30001msec,297,529,742,158335
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,27624,255960,100.00,202326.55,40326.12,55,92,858810,1555.40,15229.88,64,4ki,100000,randwrite,write,47.1k,184MiB/s,193MB/s,5520MiB,30001msec,510,996,1319,1010828
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,27624,255960,100.00,202326.55,40326.12,55,92,858810,1555.40,15229.88,80,4ki,100000,randwrite,write,47.0k,183MiB/s,192MB/s,5595MiB,30494msec,570,1598,2376,1283458
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,27624,255960,100.00,202326.55,40326.12,55,92,858810,1555.40,15229.88,96,4ki,100000,randwrite,write,42.4k,165MiB/s,174MB/s,4965MiB,30002msec,758,1926,2769,1484784
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,21376,254232,100.00,204236.44,38319.47,54,92,858810,1555.40,15229.88,112,4ki,100000,randwrite,write,46.7k,183MiB/s,191MB/s,5477MiB,30001msec,898,1893,2573,1652556
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,23552,228680,100.00,192281.87,37861.99,55,92,858810,1555.40,15229.88,128,4ki,100000,randwrite,write,44.6k,174MiB/s,183MB/s,5224MiB,30001msec,1336,2212,2802,1082131
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,23552,228680,100.00,192281.87,37861.99,55,92,858810,1555.40,15229.88,160,4ki,100000,randwrite,write,44.3k,173MiB/s,182MB/s,5197MiB,30001msec,3,4,5,1435
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,17920,271360,100.00,195844.68,44317.26,53,92,858810,1555.40,15229.88,192,4ki,100000,randwrite,write,44.3k,173MiB/s,181MB/s,5192MiB,30001msec,3,4,5,1838
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,17920,271360,100.00,195844.68,44317.26,53,92,858810,1555.40,15229.88,224,4ki,100000,randwrite,write,48.3k,189MiB/s,198MB/s,5658MiB,30001msec,3,4,5,1754
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,17920,271360,100.00,195844.68,44317.26,53,92,858810,1555.40,15229.88,256,4ki,100000,randwrite,write,47.6k,186MiB/s,195MB/s,5766MiB,31040msec,4,4,6,1703
lsvd,hdd,240gb,16948,69384,50242.11,11790.74,56,10752,267264,100.00,184718.07,59174.52,54,92,858810,1555.40,15229.88,320,4ki,100000,randwrite,write,42.4k,166MiB/s,174MB/s,4972MiB,30001msec,5,8,10,1552
